Mã quy tắc (rule_code),Hoạt chất A (generic_a),Hoạt chất B (generic_b),Mức độ (severity),Mức độ gốc (nhic_severity_raw),Hậu quả lâm sàng (clinical_effect),Cơ chế (mechanism),Khuyến cáo xử trí (recommendation),NHIC UID
DDI-NHIC-ALFUZOSI-LOPINAVI-001,alfuzosin,lopinavir/ritonavir,high,Chống chỉ định,"Tăng nồng độ alfuzosin trong huyết thanh, tâng nguy cơ hạ huyết áp nghiêm trọng",Lopinavir/ritonavir ức chế CYP3A4 làm giảm chuyển hóa của alfuzosin,Chống chỉ định phối hợp,FFA5C7A7-B98D-4E96-8ED8-7576FA3C8F01
DDI-NHIC-ALFUZOSI-ATAZANAV-002,alfuzosin,atazanavir/ritonavir,high,Chống chỉ định,"Tăng nồng độ alfuzosin trong huyết thanh, tâng nguy cơ hạ huyết áp nghiêm trọng",Atazanavir/ritonavir ức chế CYP3A4 làm giảm chuyển hóa của alfuzosin,Chống chỉ định phối hợp,87FB0829-57CD-4E28-BE53-BE0655F23D94
DDI-NHIC-AMITRIPT-LINEZOLI-003,amitriptylin,linezolid,high,Chống chỉ định có điều kiện,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)",Hiệp đồng tác dụng serotonin,"1. Cố gắng tránh sử dụng đồng thời linezolid và amitriptylin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 
2. Trong hợp không thể trì hoãn điều trị ��ược 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc.",8E4E0C2B-BC59-4434-9FC7-AA91BDB8A221
DDI-NHIC-AMIODARO-MOCSIFLO-004,amiodaron,moxifloxacin,high,Chống chỉ định có điều kiện,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,"1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải.
2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quy��t định kê đơn.",DFDB8DF0-BEEE-4A28-B1B4-8D988E324A80
DDI-NHIC-AMIODARO-CLORPROM-005,amiodaron,clorpromazin,high,Chống chỉ định có điều kiện,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,"1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải.
2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quy��t định kê đơn.",876CA2C9-8092-4243-ABB4-EEA301C789EE
DDI-NHIC-AMIODARO-HALOPERI-006,amiodaron,haloperidol,high,Chống chỉ định có điều kiện,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,"1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải.
2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quy��t định kê đơn.",1085244A-F13C-4740-AA37-49B4C43778A5
DDI-NHIC-AMIODARO-DOMPERID-007,amiodaron,domperidon,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,9FA01D97-63BC-4A15-B2AC-0985DA2E417E
DDI-NHIC-AMIODARO-COLCICIN-008,amiodaron,colchicin,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Amiodaron ức chế P-gp làm giảm thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",43F3545E-E5C2-43E5-938E-8F9E845FB25F
DDI-NHIC-AMIODARO-LOPINAVI-009,amiodaron,lopinavir/ritonavir,high,Chống chỉ định,"Tăng nồng độ amiodaron trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (hạ huyết áp, chậm nhịp tim, ngừng xoang...)",Ritonavir ức chế CYP3A4 làm giảm chuyển hóa của amiodaron,Chống chỉ định phối hợp,DDA8AB11-04D6-499A-8B63-14188B52FDE4
DDI-NHIC-AMIODARO-ATAZANAV-010,amiodaron,atazanavir/ritonavir,high,Chống chỉ định,"Tăng nồng độ amiodaron trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (hạ huyết áp, chậm nhịp tim, ngừng xoang...)",Ritonavir ức chế CYP3A4 làm giảm chuyển hóa của amiodaron,Chống chỉ định phối hợp,76B11137-DC07-4323-B0B3-F019E57BFDD8
